"ID_REF"	"GSM710733"	"GSM710735"	"GSM710737"
"LINC01525"	4.88098272859012	4.75627256506211	5.36634454027485
"LINC01526"	4.78166740567695	4.42388345267893	4.50289868208401
"LINC01527"	2.88376234840222	3.00045628851293	2.94121890882141
"LINC01532"	4.01776853253918	3.98088797206603	4.14229845892832
"LINC01535"	7.77308145158556	7.50478242768118	7.229409706643
"LINC01537"	2.85704939661362	2.94121890882141	3.02760744384077
"LINC01538"	3.27424458076266	3.24374211680066	3.16121068211008
"LINC01539"	5.10568190261533	4.64792930647486	5.29850965150091
"LINC01541"	3.06903417131155	2.97313767943433	2.72122747403221
"LINC01545"	3.93009757198134	3.64673791271009	4.16895095869155
"LINC01547"	5.87969749037338	5.57531569010833	6.14061874907078
"LINC01549"	3.38353444164274	3.31032037506055	3.7439267314183
"LINC01550"	4.83804575489131	4.29394729786855	4.57226556996908
"LINC01553"	2.99224707710792	3.13569104912179	3.1399301861225
"LINC01554"	4.30531049694048	4.23308082327494	4.37073293948359
"LINC01555"	3.50264996704201	3.47493545280217	3.39309679555432
"LINC01558"	4.49764136753377	4.26554247792141	4.70570941646322
"LINC01560"	4.34982591911778	4.61389480983005	4.23444936822717
"LINC01561"	6.67873866958791	6.26400284304485	6.85018585487456
"LINC01563"	4.7116746242676	4.5041497949155	5.2918044637939
"LINC01565"	5.51762926386283	5.34894893073435	5.31733416617653
"LINC01566"	6.2037169787287	5.4873148885841	6.14177632094247
"LINC01568"	3.40946714519493	3.19142052116542	3.31839362490329
"LINC01569"	6.50485055861697	6.5721704797482	6.63502154906889
"LINC01579"	3.57999052373251	3.16457309481197	3.6849242581642
"LINC01580"	4.57952353005921	4.55876933198242	5.1987570993485
"LINC01581"	3.25230879432245	3.04170343713447	3.43137251532836
"LINC01583"	3.08350438462089	3.11899627188203	3.20354233419315
"LINC01585"	5.71368181447864	5.11440662050031	6.24860011826304
"LINC01587"	3.51440548695357	3.52169040824521	3.44817517593726
"LINC01588"	5.17420083548679	4.62583853786994	4.8997115640099
"LINC01592"	3.50823009362528	3.28839755288656	3.44120936278632
"LINC01600"	4.30377846589764	4.13727814878897	4.15720651955434
"LINC01607"	5.19950330882386	5.10458313958033	5.26174312579955
"LINC01613"	3.42886968453644	3.19231381999538	3.48282238392006
"LINC01616"	4.37361906515808	4.15456875783669	4.363541128956
"LINC01618"	5.04204175269347	4.59437679615624	4.85856290187767
"LINC01619"	3.62906402721294	3.66172229553113	3.55721454725446
"LINC01620"	4.57507959215465	4.76567558232324	4.9932559929391
"LINC01622"	4.42314590103754	4.11641385429505	4.65196705744459
"LINC01635"	4.3172665676755	3.64673791271009	3.9742353006357
"LINC01638"	3.69114910468979	3.93275318481261	4.61612061073538
"LINC01644"	6.41418579160865	6.13497425775818	6.38260051319563
"LINC01647"	4.09467157084462	4.05129406961507	4.58477154101437
"LINC01648"	5.40585703670278	4.9463427424771	5.4961399012655
"LINC01649"	3.50337973127006	3.37244147739162	3.72956473465387
