"ID_REF"	"GSM710979"	"GSM711481"	"GSM711685"	"GSM711687"	"GSM1209565"	"GSM1209567"	"GSM1209571"
"AC005162.2"	"4.24195765405361"	"4.32707401855831"	"4.25915155362799"	"4.47380867429818"	"4.16783213914343"	"4.40166838652704"	"4.44118888140967"
"AC005165.1"	"4.71353195134137"	"4.40461301401886"	"4.51745811365067"	"4.43924525584283"	"4.46079957273957"	"4.54250156131262"	"4.60573590987652"
"AC005180.2"	"4.28154126808374"	"4.3899467329996"	"4.01558071851685"	"4.02783689441246"	"4.20635548446185"	"3.93870275517348"	"4.39063136218182"
"AC005197.1"	"5.89873139188526"	"5.7560030130095"	"5.85317427697041"	"5.53908213076235"	"5.42018304392024"	"6.21947161796559"	"5.64593580131824"
"AC005224.3"	"5.02540598901554"	"5.17460358401895"	"5.39906005097685"	"5.33433567375842"	"5.01416978342738"	"5.36002496923173"	"5.2708492291368"
"AC005225.2"	"3.81350032158268"	"3.58551413331351"	"3.54024479768565"	"3.75411756810491"	"3.55240689310497"	"3.81782958778193"	"3.62836928447243"
"AC005229.3"	"5.50341518380054"	"5.26209427738915"	"5.77738492873193"	"5.3797561297181"	"5.47984902150803"	"5.26051659386409"	"5.57985145493531"
"AC005252.3"	"3.65576994432692"	"3.75501412448311"	"3.82220006165057"	"3.96557370060527"	"3.81531356081544"	"3.56135018716947"	"4.06358205464067"
"AC005253.2"	"7.98634155455305"	"8.33500702393463"	"8.58013232353045"	"8.5136011001979"	"8.56431128960353"	"8.52027975715366"	"7.82761786548392"
"AC005256.1"	"6.32151734031556"	"6.22551357905092"	"6.1131743808087"	"6.37652057333122"	"6.06976521701011"	"6.57688814865103"	"6.1066001954649"
"AC005261.1"	"8.33851224585794"	"7.66778355194574"	"7.43071882443896"	"7.01771168601301"	"7.83002840403487"	"7.44107011223619"	"7.33352636445424"
"AC005261.3"	"6.9079215383134"	"6.99378006152112"	"6.38114265792245"	"6.53333957820025"	"6.65846572781767"	"6.50432598960876"	"6.83593481997617"
"AC005261.5"	"3.92189520325459"	"4.06848113845031"	"3.82668151141745"	"3.91618326307056"	"4.00652177395268"	"3.85703675522102"	"3.92502659331517"
"AC005288.1"	"9.00448844222553"	"9.12343178031883"	"8.74564283938208"	"8.88955102216384"	"9.18521797716898"	"8.76100228675121"	"8.70245974058255"
"AC005306.1"	"6.47568459874012"	"6.42123366075332"	"6.06272787576244"	"6.25170457088417"	"6.27033848636836"	"6.56604787552163"	"6.07052049796974"
"AC005329.1"	"6.51776040149527"	"6.57654551368911"	"6.77516435687078"	"6.66244352998234"	"6.70465111168103"	"6.90294416611417"	"6.29765026554423"
"AC005329.2"	"4.77491973933983"	"4.72435914621776"	"5.02568198537904"	"4.6132754821513"	"4.69097379315993"	"4.94852438204095"	"4.71628054958014"
"AC005332.6"	"5.19664041805002"	"5.02278594173916"	"4.91243351349112"	"5.12673408374228"	"5.2238537847693"	"5.03719078478152"	"4.92694047364905"
"AC005339.1"	"7.07606841967831"	"6.39488286626777"	"6.9512483798971"	"6.87414755662233"	"6.98484816612419"	"6.89648965402116"	"6.52521715589481"
"AC005343.4"	"5.44299464348451"	"5.42041072236749"	"5.42334806576555"	"5.3611461566207"	"5.41287869508657"	"5.46353615631909"	"5.3988124946813"
"AC005355.2"	"3.9048568134105"	"4.00114517552267"	"3.96454269924745"	"4.11417790070388"	"3.94326946232374"	"4.07790000768204"	"4.0195929013621"
"AC005391.1"	"5.89918793139777"	"5.73655183664972"	"6.28067856762417"	"6.27537005339953"	"6.01380220253731"	"6.05007226627199"	"6.07861836809462"
"AC005392.3"	"5.90777589039341"	"5.7579478350687"	"5.89206587959292"	"5.95088557880539"	"5.68950101208473"	"5.89056599039146"	"6.04148205312259"
"AC005394.1"	"5.48238129013587"	"5.40873884202278"	"5.42802052972006"	"5.79810199148574"	"5.42257878511821"	"5.36895351529725"	"5.77729441030838"
"AC005410.2"	"6.89634626012512"	"6.82700466849529"	"7.27145070775589"	"7.00422110558778"	"7.1864009297273"	"6.80405018830351"	"7.02760097803879"
"AC005498.2"	"4.52460110127932"	"4.79628990870213"	"5.0331511997175"	"4.68954870561593"	"4.84462498120009"	"5.0075474278446"	"4.45756551658126"
"AC005498.3"	"6.12262813981446"	"6.47181947332811"	"6.01103174423719"	"6.36462877693441"	"6.20991205105951"	"6.00943472708785"	"6.48325359027112"
